checkin_acc,duration,credit_history,purpose,amount,svaing_acc,present_emp_since,inst_rate,personal_status,other_debtors,residing_since,property,age,inst_plans,housing,num_credits,job,dependents,telephone,foreign_worker,status
14,18,34,49,1778,61,73,5,92,101,3,121,41,143,152,3,173,2,191,201,0
14,18,31,48,5171,63,73,6,92,101,5,121,53,143,152,2,172,3,191,201,0
14,36,32,49,1887,61,74,6,93,101,2,121,38,143,152,2,173,2,192,201,0
14,18,34,43,1076,61,75,6,93,101,6,121,78,143,152,5,173,2,191,201,0
14,9,30,40,1806,62,73,6,93,101,2,124,53,141,151,2,173,2,191,202,0
13,36,32,42,2888,61,73,3,93,101,3,121,39,143,152,2,173,2,191,201,0
14,27,32,43,650,61,71,5,92,102,6,121,33,143,151,2,173,2,191,201,1
11,9,34,40,999,64,74,5,92,101,6,121,59,143,152,3,172,2,192,201,0
13,18,32,42,3377,61,73,2,92,101,3,123,69,143,152,2,172,2,191,201,0
12,45,32,40,3225,61,73,6,92,103,3,124,36,141,152,2,173,2,191,201,1
14,36,33,42,6227,62,73,3,93,101,5,122,53,143,152,3,173,2,191,201,0
12,14,32,42,3045,65,74,3,93,101,2,123,36,143,152,2,173,2,192,201,0
12,90,33,43,11127,65,73,2,93,101,2,121,41,143,152,2,172,2,191,201,0
14,36,34,43,4026,61,73,6,93,101,3,121,53,143,152,3,172,2,191,201,0
11,18,31,43,3224,61,73,6,91,101,2,124,44,143,153,2,173,2,191,201,1
14,23,32,41,5718,62,72,2,92,101,6,123,35,143,152,2,173,2,192,201,0
14,17,34,43,1731,62,71,6,92,101,6,121,86,143,152,5,172,2,191,201,0
11,18,32,42,2486,61,73,3,93,101,3,121,41,143,152,2,173,2,191,201,0
11,36,32,43,2405,61,75,6,92,101,6,123,83,143,152,2,173,2,191,201,0
11,27,34,40,7953,61,75,3,93,101,6,124,54,143,153,5,174,2,192,201,0
14,18,34,46,4122,61,75,3,92,101,6,124,86,141,153,5,172,2,191,201,0
14,15,34,40,1847,61,75,5,93,101,6,121,48,143,152,3,172,3,191,202,0
12,23,32,43,1203,61,75,6,93,101,5,123,56,143,152,2,173,3,191,201,1
14,54,34,49,9456,65,75,6,93,101,6,121,54,143,152,3,173,2,191,201,0
14,36,32,43,2300,61,72,6,92,101,5,123,57,142,152,2,173,2,192,201,0
11,21,32,40,13467,61,75,2,91,101,6,122,68,143,152,2,174,2,192,202,1
14,36,32,43,1499,65,75,6,93,101,3,123,38,143,152,3,173,2,191,201,0
14,27,32,40,3993,65,74,6,93,101,5,122,48,143,152,2,173,2,191,202,0
14,18,34,42,2103,63,74,5,92,101,6,123,56,143,151,2,173,2,192,201,0
12,72,31,40,18254,65,71,6,93,102,6,124,54,143,153,2,174,2,192,201,0
12,72,32,43,4590,61,74,6,93,101,6,121,42,143,152,3,173,2,191,201,1
11,45,32,45,17997,61,72,2,91,101,2,124,51,143,152,2,172,2,192,201,1
14,14,32,43,4046,61,73,2,93,101,3,121,48,143,152,2,173,3,191,201,0
14,27,34,43,3606,61,73,3,92,101,3,123,39,143,152,3,173,2,191,201,0
11,18,32,42,1893,65,75,3,91,101,6,122,74,143,152,2,172,2,192,201,0
14,9,32,42,6917,61,72,2,92,101,6,122,48,143,152,2,173,2,191,201,1
14,36,32,43,2852,62,73,6,93,101,6,123,44,143,151,2,174,2,192,201,0
14,23,34,41,5052,64,75,5,93,101,6,124,35,143,151,3,173,2,192,201,0
14,18,32,42,2361,61,73,6,93,101,3,121,75,143,152,2,173,2,191,201,0
13,27,31,43,2168,65,74,6,93,101,6,123,74,141,152,2,172,2,191,201,0
14,23,34,42,2280,65,75,6,93,101,6,122,95,143,152,2,173,2,191,201,0
12,36,34,40,5817,62,72,6,91,101,3,123,56,143,152,2,173,2,192,201,0
11,71,32,40,16083,61,72,2,92,101,2,121,53,143,152,2,172,2,192,201,0
11,72,32,41,7182,61,74,6,93,101,5,122,39,143,152,2,173,3,191,201,0
12,72,33,410,11373,62,71,3,93,101,6,124,47,143,153,2,174,2,192,201,0
12,18,32,43,1638,61,73,6,92,103,6,121,74,143,152,3,173,2,192,201,0
11,36,33,43,1536,61,72,6,94,101,6,121,72,142,152,2,173,2,191,201,1
14,18,32,49,1614,61,73,3,94,101,3,121,39,143,152,2,173,2,192,202,0
12,54,32,41,14097,61,72,2,94,101,6,123,42,143,151,2,174,2,192,201,1
11,36,34,41,9629,61,75,3,92,101,6,124,66,143,153,3,174,3,192,201,0
13,63,34,41,7194,61,75,6,93,101,6,124,84,143,153,2,173,2,191,201,0
14,72,34,49,11444,65,75,6,91,101,3,123,69,141,152,3,174,3,191,201,0
12,72,32,42,14940,61,72,2,92,101,3,123,39,143,152,2,173,2,192,201,1
14,18,32,41,7013,65,72,2,92,101,6,123,30,143,151,2,173,2,191,201,0
14,15,32,40,1931,65,75,6,93,102,3,122,68,143,152,2,172,2,191,202,0
14,27,32,42,3773,61,73,5,93,101,6,121,65,143,152,2,173,2,192,201,0
12,32,34,42,4118,64,74,5,93,101,3,123,48,143,152,3,173,2,192,201,0
14,9,32,40,1008,61,71,2,92,101,6,121,81,143,152,2,171,2,192,201,0
12,54,30,43,5706,61,73,6,92,101,2,123,63,143,152,2,173,2,192,201,1
13,36,34,40,2016,65,74,6,93,101,3,121,56,141,152,3,172,3,191,201,1
11,15,34,40,1557,61,74,6,93,102,5,122,74,143,152,3,173,2,192,201,0
14,72,34,40,15191,63,73,3,93,101,3,124,66,141,153,2,173,2,191,201,1
14,9,32,42,2315,64,73,6,91,101,3,121,50,143,152,2,173,2,191,201,0
14,45,32,41,7217,65,74,3,92,101,6,122,36,142,151,2,172,2,191,201,0
11,18,32,43,1091,62,72,6,94,101,5,124,50,143,152,2,172,2,192,201,1
12,12,32,42,1856,61,73,5,92,101,6,121,36,143,152,2,173,2,191,201,1
12,14,32,40,414,61,73,6,94,101,6,121,33,143,151,2,172,2,191,201,0
12,72,32,410,8072,65,71,5,93,101,6,124,60,141,153,2,171,2,192,201,0
14,36,32,42,8267,62,73,6,93,101,2,123,38,142,152,2,173,2,191,201,0
13,36,32,42,5624,61,72,3,92,101,6,123,39,143,152,2,173,2,191,201,0
12,18,32,40,1028,61,74,3,94,101,5,123,38,141,152,2,172,2,191,201,1
13,6,32,40,2241,65,72,2,93,101,3,121,44,143,152,2,172,3,191,202,0
11,54,31,42,4119,61,75,6,93,101,6,123,47,141,152,2,173,2,191,201,1
11,18,32,42,1062,61,73,3,93,103,5,122,57,143,152,2,172,3,191,201,0
12,36,32,42,6527,65,73,2,92,101,6,122,72,143,152,2,172,2,192,201,0
14,18,34,46,1052,61,73,6,93,101,3,123,48,143,152,3,173,2,191,201,0
11,23,33,42,5465,61,75,2,92,101,6,122,41,143,152,3,172,2,191,201,0
12,45,34,40,6374,61,71,6,94,101,3,123,42,143,152,3,174,2,191,201,1
